NMFS_ID,PCRloc'n,DNAloc'n,rBOXloc,PIT/Tag#,SEX(GHpsi),SEX,PIT_ID,Pop_ID,Status,FishKey_Reach,Remarks,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,HATCHERY,Strain/Mark,Analysis,CrossRef,LENGTH,WEIGHT,Age,SpawnWinter,BirthYear,Notes,Hatchery.Status,STD_Date,CollectionDate,Collection Year,Lifestage,SampleID,Panel,Cross_Ref
K021036,KFV/2D,K309/2D,,1944,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,710,,,W1011,2007,Also picked and extracted under NMFS ID# K022621.,?,,10/26/10,2010,ADULT,1,TMv1,
K021037,KFV/2E,K309/2E,,1938,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,660,,,W1011,2007,Also picked and extracted under NMFS ID# K022513.,?,,10/26/10,2010,ADULT,2,TMv1,
K021039,KFV/2G,K309/2G,,1936,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/26/10,2010,ADULT,4,TMv1,
K021040,KFV/2H,K309/2H,,1935,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,650,,,W1011,2007,Also picked and extracted under NMFS ID#K022526.,?,,10/26/10,2010,ADULT,5,TMv1,
K021041,KFV/3A,K309/3A,,1933,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,670,,,W1011,2007,Also picked and extracted under NMFS ID#K022560.,?,,10/26/10,2010,ADULT,6,TMv1,
K021042,KFV/3B,K309/3B,,1932,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,Also picked and extracted under NMFS ID#K022603.,?,,10/26/10,2010,ADULT,7,TMv1,
K021043,KFV/3C,K309/3C,,1931,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,680,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/26/10,2010,ADULT,8,TMv1,
K021044,KFV/3D,K309/3D,,1930,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,440,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/26/10,2010,ADULT,9,TMv1,
K021045,KFV/3E,K309/3E,,1929,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,Also picked and extracted under NMFS ID# K022692.,?,,10/29/10,2010,ADULT,1,TMv1,
K021046,KFV/3F,K309/3F,,1173,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,730,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/29/10,2010,ADULT,2,TMv1,
K021047,KFV/3G,K309/3G,,1172,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,380,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/29/10,2010,ADULT,3,TMv1,
K021048,KFV/3H,K309/3H,,1170,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,710,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/29/10,2010,ADULT,4,TMv1,
K021049,KFV/4A,K309/4A,,1168,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,Also picked and extracted under NMFS ID#K022542.,?,,10/29/10,2010,ADULT,5,TMv1,
K021050,KFV/4B,K309/4B,,1165,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/29/10,2010,ADULT,6,TMv1,
K021051,KFV/4C,K309/4C,,1164,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,630,,,W1011,2007,Also picked and extracted under NMFS ID# K022609.,?,,10/29/10,2010,ADULT,7,TMv1,
K021052,KFV/4D,K309/4D,,1163,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/29/10,2010,ADULT,8,TMv1,
K021053,KFV/4E,K309/4E,,1162,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,700,,,W1011,2007,Also picked and extracted under NMFS ID#K022566.,?,,10/29/10,2010,ADULT,9,TMv1,
K021055,KFV/4G,K309/4G,,1198,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,650,,,W1011,2007,Also picked and extracted under NMFS ID# K022582.,?,,10/29/10,2010,ADULT,11,TMv1,
K021057,KFV/5A,K309/5A,,1196,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007,"Length given in cm, converted to mm.",?,,10/29/10,2010,ADULT,13,TMv1,
K021058,KFV/5B,K309/5B,,1193,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,720,,,W1011,2007,Also picked and extracted under NMFS ID#K022531.,?,,10/29/10,2010,ADULT,14,TMv1,
K021060,KFV/5D,K309/5D,,2,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,Lower caudal punch,,,670,,,W1011,2007,Lower caudal punch. ,?,,10/29/10,2010,ADULT,16,TMv1,
K021061,KFV/5E,K309/5E,,3,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,Upper caudal/dorsal punch,,,710,,,W1011,2007,Upper caudal/dorsal punch. ,?,,10/29/10,2010,ADULT,17,TMv1,
K021062,KFV/5F,K309/5F,,4,F,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,Unmarked,,,720,,,W1011,2007,Lower caudal/dorsal punch. Unmarked. Also picked and extracted as NMFS ID#K022527.,?,,10/29/10,2010,ADULT,18,TMv1,
K021063,KFV/5G,K309/5G,,1374,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,Also picked and extracted under NMFS ID#K022551.,?,,11/1/10,2010,ADULT,1,TMv1,
K021065,KFV/6A,K309/6A,,1398,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,680,,,W1011,2007,Also picked and extracted under NMFS ID#K022553.,?,,11/1/10,2010,ADULT,3,TMv1,
K021066,KFV/6B,K309/6B,,1396,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,690,,,W1011,2007,Also picked and extracted under NMFS ID#K022597.,?,,11/1/10,2010,ADULT,4,TMv1,
K021067,KFV/6C,K309/6C,,1369,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,640,,,W1011,2007,Also picked and extracted under NMFS ID#K022558.,?,,11/1/10,2010,ADULT,5,TMv1,
K021068,KFV/6D,K309/6D,,1394,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,740,,,W1011,2007,Also picked and extracted under NMFS ID#K022530.,?,,11/1/10,2010,ADULT,6,TMv1,
K021069,KFV/6E,K309/6E,,1391,,F,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,630,,,W1011,2007,Also picked and extracted under NMFS ID#K022519.,?,,11/1/10,2010,ADULT,7,TMv1,
K021070,KFV/6F,K309/6F,,1367,,M,,,,,,Klamath River,,,Klamath River,Iron Gate Hatchery,LM clipped.,,,670,,,W1011,2007,Also picked and extracted under NMFS ID#K022520.,?,,11/1/10,2010,ADULT,8,TMv1,
