OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
Shasta_Oki_15	K044336_?_3-23-15_163_2015	K030346_M_11-18-13_B_2013	K030005_F_10-29-13_NB_2013	Shasta_Oki_12_13_14	2013	0	0	20.056156	0.997294	0.997294	C_Se_Se	188	105	1	32	1	0	0	0	0	0	---
Shasta_Oki_15	K044456_?_4-4-15_140_2015	K030853_M_11-26-13_NB_2013	K030634_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0	0	19.792634	0.996481	0.996481	C_Se_Se	56	39	0	41	4	1	0	0	0	0	---
Shasta_Oki_15	K044458_?_4-4-15_140_2015	K029934_M_10-28-13_NB_2013	K030129_F_11-1-13_NB_2013	Shasta_Oki_12_13_14	2013	0	0	19.984454	0.997093	0.997093	C_Se_Se	319	162	0	160	3	0	0	0	0	0	---
Shasta_Oki_15	K044608_?_4-7-15_133_2015	K030481_M_11-26-13_NB_2013	K030476_F_11-21-13_NB_2013	Shasta_Oki_12_13_14	2013	0	0	18.427945	0.986365	0.986365	C_Se_Se	268	182	0	25	0	0	0	0	0	0	---
Shasta_Oki_15	K045075_?_4-14-15_140_2015	K030224_M_11-13-13_B_2013	K030214_F_11-13-13_B_2013	Shasta_Oki_12_13_14	2013	0	0	20.168122	0.99758	0.99758	C_Se_Se	320	256	0	11	1	0	0	0	0	0	---
Shasta_Oki_15	K045248_?_4-16-15_156_2015	K030601_M_12-2-13_B_2013	K030588_F_12-2-13_B_2013	Shasta_Oki_12_13_14	2013	0	0	19.79251	0.996481	0.996481	C_Se_Se	223	104	1	29	1	2	2	0	0	0	---
Shasta_Oki_15	K045312_?_4-17-15_146_2015	K030496_M_11-26-13_B_2013	K030591_F_12-2-13_B_2013	Shasta_Oki_12_13_14	2013	0	0	20.623737	0.998464	0.998464	C_Se_Se	90	58	1	26	1	0	0	0	0	0	---
Shasta_Oki_15	K044513_?_4-6-15_153_2015	K030645_M_11-26-13_NB_2013	K030566_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.070198	0.001	19.072538	0.992796	0.992796	C_Se_Se	91	41	0	3	3	1	1	0	0	0	---
Shasta_Oki_15	K044282_?_5-22-15_121_2015	K030198_M_11-8-13_B_2013	K030064_F_11-6-13_B_2013	Shasta_Oki_12_13_14	2013	0.076579	0.001	16.136996	0.879786	0.879786	C_Se_Se	194	126	0	1	0	0	0	0	1	2	"Oki_txnip_35,Oki_afp4_10"
Shasta_Oki_15	K045087_?_4-14-15_137_2015	K030853_M_11-26-13_NB_2013	K030632_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.084237	0.001	18.070755	0.980624	0.980624	C_Se_Se	53	54	0	9	1	1	0	0	0	0	---
Shasta_Oki_15	K044600_?_4-7-15_152_2015	K030230_M_11-13-13_B_2013	K030211_F_11-13-13_B_2013	Shasta_Oki_12_13_14	2013	0.093597	0.001	19.599482	0.995734	0.995734	C_Se_Se	129	79	0	12	0	0	0	0	0	0	---
Shasta_Oki_15	K044317_?_3-19-15_161_2015	K030606_M_12-2-13_B_2013	K030581_F_11-26-13_B_2013	Shasta_Oki_12_13_14	2013	0.099103	0.002	19.404302	0.99482	0.99482	C_Se_Se	36	33	0	6	0	0	1	0	0	0	---
Shasta_Oki_15	K045525_?_4-23-15_149_2015	K030099_M_11-7-13_B_2013	K030209_F_11-13-13_B_2013	Shasta_Oki_12_13_14	2013	0.105297	0.002	17.992471	0.979079	0.979079	C_Se_Se	142	94	0	27	1	0	0	0	0	0	---
Shasta_Oki_15	K045621_?_4-28-15_136_2015	K029909_M_10-22-13_NB_2013	K030212_F_11-13-13_B_2013	Shasta_Oki_12_13_14	2013	0.105297	0.001	18.913914	0.991569	0.991569	C_Se_Se	96	70	0	10	0	0	0	0	0	0	---
Shasta_Oki_15	K044826_?_4-10-15_144_2015	K030481_M_11-26-13_NB_2013	K030476_F_11-21-13_NB_2013	Shasta_Oki_12_13_14	2013	0.112316	0.002	19.023528	0.992437	0.992437	C_Se_Se	119	66	0	7	2	0	0	0	0	0	---
Shasta_Oki_15	K045676_?_4-30-15_150_2015	K029990_M_11-4-13_B_2013	K030377_F_11-13-13_NB_2013	Shasta_Oki_12_13_14	2013	0.120339	0.002	17.763377	0.973834	0.973834	C_Se_Se	472	336	1	670	1	0	0	0	0	0	---
Shasta_Oki_15	K045596_?_4-27-15_125_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.129596	0.002	18.026866	0.979772	0.979772	C_Se_Se	138	112	0	8	0	4	1	0	0	0	---
Shasta_Oki_15	K044694_?_4-8-15_141_2015	K030645_M_11-26-13_NB_2013	K030566_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.177342	0.004	18.857545	0.991084	0.991084	C_Se_Se	174	64	0	25	0	1	1	0	0	0	---
Shasta_Oki_15	K045065_?_4-14-15_155_2015	K030481_M_11-26-13_NB_2013	K030476_F_11-21-13_NB_2013	Shasta_Oki_12_13_14	2013	0.187194	0.004	18.942592	0.991805	0.991805	C_Se_Se	179	130	1	22	2	0	0	0	0	0	---
Shasta_Oki_15	K045122_?_4-15-15_135_2015	K030645_M_11-26-13_NB_2013	K030566_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.200565	0.005	18.356771	0.985373	0.985373	C_Se_Se	133	70	0	15	1	1	1	0	0	0	---
Shasta_Oki_15	K045002_?_4-13-15_128_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.210593	0.005	17.425533	0.963699	0.963699	C_Se_Se	74	55	0	27	0	4	1	0	0	0	---
Shasta_Oki_15	K044397_?_3-28-15_198_2015	K030606_M_12-2-13_B_2013	K030581_F_11-26-13_B_2013	Shasta_Oki_12_13_14	2013	0.21975	0.006	18.191047	0.982782	0.982782	C_Se_Se	62	46	0	16	1	0	1	0	0	0	---
Shasta_Oki_15	K045314_?_4-17-15_158_2015	K030023_M_10-30-13_NB_2013	K030037_F_10-31-13_NB_2013	Shasta_Oki_12_13_14	2013	0.229738	0.006	16.083971	0.874064	0.874064	C_Se_Se	61	35	0	1	0	0	0	0	0	2	"Oki_txnip_35,Oki_afp4_10"
Shasta_Oki_15	K045206_?_4-16-15_157_2015	K030030_M_10-31-13_NB_2013	K030471_F_11-18-13_NB_2013	Shasta_Oki_12_13_14	2013	0.235865	0.007	16.126073	0.878626	0.878626	C_Se_Se	40	24	0	2	0	4	0	0	0	1	Oki_txnip_35
Shasta_Oki_15	K045251_?_4-16-15_137_2015	K030833_M_11-26-13_NB_2013	K032038_F_11-6-13_NO_2013	Shasta_Oki_12_13_14	2013	0.245692	0.007	16.784419	0.933257	0.933257	C_Se_Se	314	157	1	89	0	1	3	0	0	0	---
Shasta_Oki_15	K044726_?_4-9-15_151_2015	K029934_M_10-28-13_NB_2013	K030129_F_11-1-13_NB_2013	Shasta_Oki_12_13_14	2013	0.259192	0.008	16.784819	0.933282	0.933282	C_Se_Se	73	44	0	21	0	0	0	1	1	1	Oki_afp4_10
Shasta_Oki_15	K044346_?_3-25-15_147_2015	K029940_M_10-28-13_NB_2013	K030173_F_11-7-13_NB_2013	Shasta_Oki_12_13_14	2013	0.330932	0.011	16.172884	0.88353	0.88353	C_Se_Se	125	87	0	26	1	0	0	0	0	1	Oki_afp4_10
Shasta_Oki_15	K044705_?_4-8-15_155_2015	K031365_M_12-10-13_NB_2013	K031353_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.336949	0.012	15.64165	0.816836	0.816836	C_Se_Se	53	36	0	9	2	1	0	1	1	1	Oki117043_374
Shasta_Oki_15	K045713_?_5-5-15_132_2015	K029965_M_10-29-13_NB_2013	K030296_F_11-15-13_B_2013	Shasta_Oki_12_13_14	2013	0.343189	0.011	17.086257	0.949773	0.949773	C_Se_Se	91	52	0	57	2	0	0	1	0	1	Oki_afp4_10
Shasta_Oki_15	K045089_?_4-14-15_136_2015	K030427_M_11-21-13_B_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.348568	0.012	16.212467	0.887542	0.887542	C_Se_Se	353	235	0	71	1	0	1	0	0	0	---
Shasta_Oki_15	K045015_?_4-13-15_140_2015	K029940_M_10-28-13_NB_2013	K030173_F_11-7-13_NB_2013	Shasta_Oki_12_13_14	2013	0.380427	0.014	16.335532	0.899252	0.899252	C_Se_Se	26	16	0	4	0	0	0	1	1	1	Oki_afp4_10
Shasta_Oki_15	K045129_?_4-15-15_137_2015	K030522_M_11-25-13_B_2013	K030590_F_12-2-13_B_2013	Shasta_Oki_12_13_14	2013	0.382897	0.015	17.766377	0.97391	0.97391	C_Se_Se	56	36	0	16	1	1	5	0	0	0	---
Shasta_Oki_15	K044618_?_4-7-15_146_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.394863	0.015	15.998114	0.864306	0.864306	C_Se_Se	304	218	1	44	0	4	1	0	0	0	---
Shasta_Oki_15	K044568_?_4-7-15_155_2015	K030985_M_11-26-13_NB_2013	K031364_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.396411	0.016	15.920196	0.854905	0.854905	C_Se_Se	405	289	0	538	2	1	1	0	1	1	Oki117043_374
Shasta_Oki_15	K045791_?_5-12-15_140_2015	K031221_M_12-10-13_NB_2013	K030399_F_11-21-13_B_2013	Shasta_Oki_12_13_14	2013	0.399019	0.018	14.617751	0.615658	0.615658	C_Se_Se	31	30	0	4	0	4	0	0	1	2	"Oki_hsc713_56,Oki102457_67"
Shasta_Oki_15	K045306_?_4-17-15_139_2015	K031365_M_12-10-13_NB_2013	K031353_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.409153	0.017	15.523714	0.798529	0.798529	C_Se_Se	235	157	0	70	0	1	0	1	1	1	Oki117043_374
Shasta_Oki_15	K045400_?_4-20-15_149_2015	K031221_M_12-10-13_NB_2013	K030399_F_11-21-13_B_2013	Shasta_Oki_12_13_14	2013	0.409803	0.018	14.492484	0.585621	0.585621	C_Se_Se	40	45	0	10	0	4	0	0	1	2	"Oki_rpo2j_235,Oki_hsc713_56"
Shasta_Oki_15	K045159_?_4-15-15_145_2015	K030979_M_11-26-13_NB_2013	K031155_F_12-3-13_NB_2013	Shasta_Oki_12_13_14	2013	0.410387	0.019	16.185768	0.88485	0.88485	C_Se_Se	356	204	1	37	1	1	1	0	0	0	---
Shasta_Oki_15	K044888_?_4-10-15_138_2015	K030318_M_11-15-13_B_2013	K030341_F_11-18-13_B_2013	Shasta_Oki_12_13_14	2013	0.421187	0.018	15.71625	0.827735	0.827735	C_Se_Se	318	185	0	36	0	0	0	1	0	1	Oki_hsc713_56
Shasta_Oki_15	K045714_?_5-5-15_163_2015	K030105_M_11-7-13_B_2013	K030186_F_11-7-13_NB_2013	Shasta_Oki_12_13_14	2013	0.463305	0.022	15.176022	0.736806	0.736806	C_Se_Se	247	146	0	238	1	0	0	0	0	2	"Oki_txnip_35,Oki_afp4_10"
Shasta_Oki_15	K045178_?_4-15-15_137_2015	K031031_M_12-2-13_NB_2013	K031766_F_12-31-13_NB_2013	Shasta_Oki_12_13_14	2013	0.478621	0.025	17.040239	0.947532	0.947532	C_Se_Se	133	90	0	104	0	0	0	1	0	1	Oki113457_324
Shasta_Oki_15	K044501_?_4-6-15_142_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.486705	0.026	13.931102	0.446335	0.446335	C_Se_Se	117	92	0	8	0	4	1	0	1	1	Oki105407_161
Shasta_Oki_15	K044769_?_4-9-15_165_2015	K030240_M_11-13-13_B_2013	K030146_F_11-1-13_NB_2013	Shasta_Oki_12_13_14	2013	0.489752	0.025	12.254811	0.131042	0.400762	C_Si_Se	72	39	0	2	0	0	0	1	1	4	"Oki124162_62,Oki101770_525,Oki105897_298,Oki_afp4_10"
Shasta_Oki_15	K044560_?_4-7-15_137_2015	K029934_M_10-28-13_NB_2013	K030129_F_11-1-13_NB_2013	Shasta_Oki_12_13_14	2013	0.493097	0.024	15.100178	0.721836	0.721836	C_Se_Se	305	215	0	145	1	0	0	1	1	1	Oki_afp4_10
Shasta_Oki_15	K045424_?_4-20-15_137_2015	K030022_M_10-30-13_NB_2013	K035744_F_1-21-14_NB_2013	Shasta_Oki_12_13_14	2013	0.501413	0.025	15.493186	0.793572	0.793572	C_Se_Se	250	200	0	683	0	0	0	1	0	1	Oki_afp4_10
Shasta_Oki_15	K044958_?_4-11-15_145_2015	K031365_M_12-10-13_NB_2013	K031353_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.640936	0.035	15.931687	0.856325	0.856325	C_Se_Se	149	72	0	47	0	1	0	1	1	1	Oki117043_374
Shasta_Oki_15	K044455_?_4-4-15_158_2015	K031039_M_12-3-13_NB_2013	K030173_F_11-7-13_NB_2013	Shasta_Oki_12_13_14	2013	0.650253	0.044	13.8306	0.421653	0.421653	C_Se_Se	66	36	0	2	3	0	0	0	1	2	"Oki106419_292,Oki_afp4_10"
Shasta_Oki_15	K044607_?_4-7-15_131_2015	K029940_M_10-28-13_NB_2013	K030173_F_11-7-13_NB_2013	Shasta_Oki_12_13_14	2013	0.658583	0.043	15.0968	0.721157	0.721157	C_Se_Se	69	49	0	16	0	0	0	1	1	1	Oki_afp4_10
Shasta_Oki_15	K044673_?_4-8-15_136_2015	K030027_M_10-30-13_NB_2013	K030145_F_11-1-13_NB_2013	Shasta_Oki_12_13_14	2013	0.661865	0.044	12.67526	0.186741	0.346205	C_Si_Se	253	163	0	5	0	0	1	1	0	2	"Oki_txnip_35,Oki106313_353"
Shasta_Oki_15	K045580_?_4-25-15_155_2015	K031816_M_12-31-13_NB_2013	K030399_F_11-21-13_B_2013	Shasta_Oki_12_13_14	2013	0.663145	0.037	10.980562	0.040464	0.384324	C_Si_Se	145	108	0	1	0	1	0	2	1	4	"Oki_pigh_33,Oki124162_62,Oki102414_499,Oki_nips_159"
Shasta_Oki_15	K044997_?_4-13-15_144_2015	K030804_M_11-26-13_NB_2013	K031780_F_12-31-13_NB_2013	Shasta_Oki_12_13_14	2013	0.666879	0.038	12.199761	0.124899	0.315441	F_U	86	63	0	3	0	2	0	1	1	2	"Oki107607_213,Oki122593_430"
Shasta_Oki_15	K044939_?_4-11-15_139_2015	K031170_M_12-3-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.670461	0.039	14.080889	0.48358	0.48358	C_Se_Se	80	70	0	3	0	1	1	1	0	2	"Oki106419_292,Oki118175_264"
Shasta_Oki_15	K044735_?_4-9-15_143_2015	K026581_M_11-13-12_NB_2012	K026758_F_11-20-12_B_2012	Shasta_Oki_12_13_14	2012	0.670779	0.043	12.275883	0.13346	0.26324	F_U	84	63	0	1	0	0	0	1	1	3	"Oki102414_499,Oki_hsc713_56,Oki123205_88"
Shasta_Oki_15	K044784_?_4-9-15_157_2015	K030225_M_11-13-13_B_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.673899	0.04	14.206555	0.514987	0.514987	C_Se_Se	104	89	0	8	1	1	1	0	0	2	"Oki96127_66,Oki120024_226"
Shasta_Oki_15	K044630_?_4-8-15_156_2015	K030647_M_11-26-13_NB_2013	K030037_F_10-31-13_NB_2013	Shasta_Oki_12_13_14	2013	0.677202	0.041	10.932614	0.038643	0.378718	C_U_Si	49	34	0	2	0	1	0	1	1	2	"Oki105235_460,Oki_afp4_10"
Shasta_Oki_15	K044636_?_4-8-15_147_2015	K030655_M_11-26-13_NB_2013	K030569_F_11-26-13_NB_2013	Shasta_Oki_12_13_14	2013	0.680379	0.042	17.254088	0.957201	0.957201	C_Se_Se	101	64	0	17	0	6	0	1	0	1	Oki106419_292
Shasta_Oki_15	K044747_?_4-9-15_150_2015	K031163_M_12-3-13_NB_2013	K030595_F_12-2-13_B_2013	Shasta_Oki_12_13_14	2013	0.682613	0.047	12.100523	0.11445	0.441036	C_Se_Si	79	46	0	2	0	1	1	0	2	3	"Oki106479_278,Oki102414_499,Oki109243_480"
Shasta_Oki_15	K045617_?_4-28-15_149_2015	K031221_M_12-10-13_NB_2013	K030399_F_11-21-13_B_2013	Shasta_Oki_12_13_14	2013	0.683435	0.043	14.675442	0.629215	0.629215	C_Se_Se	26	34	0	10	0	4	0	0	1	2	"Oki_rpo2j_235,Oki_hsc713_56"
Shasta_Oki_15	K045519_?_4-23-15_126_2015	K031221_M_12-10-13_NB_2013	K029980_F_11-4-13_B_2013	Shasta_Oki_12_13_14	2013	0.756708	0.053	15.084302	0.718637	0.718637	C_Se_Se	63	55	0	32	1	4	0	0	0	1	Oki109243_480
Shasta_Oki_15	K044907_?_4-10-15_134_2015	K030281_M_11-8-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.772176	0.055	9.774053	0.012462	0.64468	C_U_Se	70	44	0	1	0	0	1	1	0	3	"Oki109894_418,Oki118175_264,Oki_SClkF2R2_120"
Shasta_Oki_15	K045778_?_5-11-15_144_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.800945	0.058	14.42741	0.569747	0.569747	C_Se_Se	60	49	0	20	0	4	1	0	1	1	Oki116362_411
Shasta_Oki_15	K045050_?_4-13-15_148_2015	K035792_M_10-31-14_NB_2014	K035874_F_11-20-14_B_2014	Shasta_Oki_12_13_14	2014	0.801613	0.059	9.307215	0.00785	0.784473	C_U_U	138	101	0	1	0	2	3	0	0	3	"Oki96127_66,Oki130524_184,Oki114315_360"
Shasta_Oki_15	K044427_?_3-31-15_138_2015	K031744_M_12-31-13_NB_2013	K031191_F_12-3-13_NB_2013	Shasta_Oki_12_13_14	2013	0.80226	0.06	14.833488	0.665276	0.665276	C_Se_Se	149	103	1	35	3	0	1	0	0	2	"Oki_rpo2j_235,Oki107974_46"
Shasta_Oki_15	K045331_?_4-17-15_137_2015	K031221_M_12-10-13_NB_2013	K031211_F_12-10-13_NB_2013	Shasta_Oki_12_13_14	2013	0.82961	0.065	14.110248	0.490915	0.490915	C_Se_Se	153	117	0	22	0	4	1	0	1	1	Oki105407_161
Shasta_Oki_15	K045641_?_4-29-15_142_2015	K031221_M_12-10-13_NB_2013	K030266_F_11-8-13_NB_2013	Shasta_Oki_12_13_14	2013	0.829801	0.066	13.617508	0.370731	0.370731	C_Se_Se	80	66	1	12	0	4	0	0	1	1	Oki_nips_159
